,time,open,high,low,close
2253,2024-10-01 10:36:20,1.10831,1.10831,1.10828,1.10829
2254,2024-10-01 10:36:25,1.10828,1.10843,1.10828,1.10843
2255,2024-10-01 10:36:30,1.10842,1.10853,1.10841,1.10853
2256,2024-10-01 10:36:35,1.10853,1.10853,1.10848,1.10849
2257,2024-10-01 10:36:40,1.10847,1.10857,1.10845,1.10856
2258,2024-10-01 10:36:45,1.10855,1.10855,1.10844,1.10847
2259,2024-10-01 10:36:50,1.10847,1.10848,1.10843,1.10848
2260,2024-10-01 10:36:55,1.1085,1.10852,1.10844,1.10849
2261,2024-10-01 10:37:00,1.1085,1.10853,1.10838,1.10843
2262,2024-10-01 10:37:05,1.10843,1.10844,1.10837,1.10844
2263,2024-10-01 10:37:10,1.10846,1.10846,1.1084,1.1084
2264,2024-10-01 10:37:15,1.10842,1.10843,1.10839,1.1084
2265,2024-10-01 10:37:20,1.1084,1.10848,1.1084,1.10848
2266,2024-10-01 10:37:25,1.10844,1.10844,1.10832,1.10832
2267,2024-10-01 10:37:30,1.10822,1.10828,1.10819,1.10819
2268,2024-10-01 10:37:35,1.10819,1.10822,1.10817,1.10822
2269,2024-10-01 10:37:40,1.10822,1.10823,1.10816,1.10816
2270,2024-10-01 10:37:45,1.10818,1.10818,1.10812,1.10816
2271,2024-10-01 10:37:50,1.10816,1.10822,1.10816,1.10816
2272,2024-10-01 10:37:55,1.10818,1.10824,1.10818,1.10823
2273,2024-10-01 10:38:00,1.1083,1.10832,1.10828,1.10829
2274,2024-10-01 10:38:05,1.10829,1.10836,1.10828,1.10828
2275,2024-10-01 10:38:10,1.10824,1.1083,1.10824,1.1083
2276,2024-10-01 10:38:15,1.10831,1.1084,1.10831,1.1084
2277,2024-10-01 10:38:20,1.1084,1.10841,1.10835,1.10835
2278,2024-10-01 10:38:25,1.10833,1.10833,1.10828,1.10831
2279,2024-10-01 10:38:30,1.10832,1.10836,1.1083,1.10831
2280,2024-10-01 10:38:35,1.10831,1.10835,1.10827,1.10827
2281,2024-10-01 10:38:40,1.10827,1.10828,1.10823,1.10828
